contrast,dissimilarity,homogeneity,ASM,energy,correlation,entropy,y
183.004902,3.167507003,0.684131686,0.352444635,0.593670477,0.964902919,0.297570523,0
266.8319328,3.544817927,0.684158505,0.357530522,0.59793856,0.95921646,0.262827578,0
160.9638655,2.675210084,0.705930525,0.36274651,0.60228441,0.953720058,0.196489731,0
232.3684874,3.33767507,0.694942807,0.368252752,0.606838324,0.95505552,0.252394202,0
249.9952381,2.922969188,0.750849209,0.471487056,0.68664915,0.967601747,0.230864179,0
248.4990196,3.472969188,0.64515375,0.259990506,0.509892642,0.954966939,0.250533209,0
216.9194678,3.091456583,0.701098983,0.356916835,0.597425171,0.959569206,0.262370087,0
225.8736695,3.424369748,0.631403308,0.245393295,0.495371875,0.956765483,0.253326376,0
239.6039216,3.648739496,0.642935618,0.290931118,0.539380309,0.969235123,0.29198408,0
187.8397759,3.169187675,0.708813637,0.397175125,0.630218315,0.966573977,0.272554463,0
136.5273109,2.568907563,0.693972862,0.317697922,0.563646984,0.96419158,0.209460218,0
184.3519608,2.758263305,0.737447037,0.423760004,0.650968512,0.969040349,0.229950933,0
266.0252101,3.540336134,0.683307888,0.330322658,0.574737034,0.960400648,0.263991346,0
107.9289916,2.295938375,0.733657933,0.409114597,0.639620666,0.972836451,0.203163323,0
214.3670868,2.890896359,0.733455622,0.407787566,0.638582466,0.949426498,0.216112573,0
200.707563,3.160364146,0.676489672,0.321004009,0.566572157,0.945731939,0.214482677,0
276.140056,3.5267507,0.674223246,0.309978913,0.556757499,0.951471387,0.208888491,0
188.7640056,2.702240896,0.738825461,0.418690653,0.647063098,0.967643379,0.209594208,0
226.0988796,3.025210084,0.757048441,0.478488052,0.691728308,0.948787381,0.258088562,0
261.3357143,3.432212885,0.671168611,0.308363728,0.555305076,0.948714379,0.244954327,0
166.7956583,2.500840336,0.743220524,0.420491177,0.64845291,0.957505656,0.231411728,0
154.1305322,2.754901961,0.670087231,0.292547617,0.540876712,0.960249446,0.21738174,0
255.5093838,3.637955182,0.652638739,0.300093165,0.547807598,0.941821071,0.256390971,0
240.2320728,3.482913165,0.677419218,0.329668014,0.574167235,0.950522998,0.259608107,0
276.3745098,3.361064426,0.704349737,0.369570152,0.607922817,0.962416242,0.247999893,0
213.0845938,3.243977591,0.682024873,0.318897147,0.56470979,0.947336845,0.233607402,0
108.842577,1.932633053,0.782646689,0.487102096,0.697926999,0.969907855,0.154151076,0
242.7345938,3.227310924,0.696616355,0.343060528,0.585713691,0.958229233,0.214005292,0
255.8551821,2.993837535,0.716810843,0.370756734,0.608897967,0.962045863,0.222158505,0
268.9114846,3.785154062,0.632385919,0.252419978,0.50241415,0.937895192,0.215903387,0
236.1218487,3.035014006,0.721734581,0.391881096,0.62600407,0.95860929,0.247491479,0
192.9152661,2.840196078,0.732099859,0.414413089,0.643749244,0.966230342,0.213547236,0
281.1280112,3.605042017,0.652480178,0.268598802,0.518265185,0.946630489,0.242186947,0
256.5546218,3.643977591,0.661837533,0.301780546,0.549345561,0.937353002,0.232396054,0
177.7570028,3.21162465,0.654795133,0.295129483,0.54325821,0.96219897,0.255139193,0
217.8427171,3.286694678,0.669355008,0.307640184,0.55465321,0.956544857,0.22739065,0
157.2539216,2.949439776,0.696270551,0.354651527,0.595526261,0.957999793,0.236840174,0
254.2233894,3.196778711,0.71306513,0.366241036,0.605178516,0.950993799,0.204166827,0
262.5557423,3.299159664,0.696529275,0.351125637,0.592558551,0.954788074,0.233284951,0
187.2305322,3.26512605,0.728444875,0.440989278,0.664070236,0.959587601,0.29948031,0
124.1320728,2.557142857,0.676612474,0.303603265,0.551002055,0.968204333,0.196329278,0
194.9609244,3.453361345,0.637039799,0.275903587,0.525265254,0.963889509,0.293750835,0
187.6271709,3.012464986,0.702271419,0.36789658,0.606544788,0.971299224,0.242219856,0
233.9885154,3.208543417,0.69393977,0.343337727,0.585950277,0.953144674,0.251439962,0
114.319888,2.54789916,0.675480328,0.310681096,0.557387743,0.967040399,0.177522873,0
239.3703081,3.082633053,0.752767936,0.47596569,0.689902667,0.960099291,0.261709105,0
147.9282913,2.838235294,0.69398328,0.361868561,0.601555119,0.964439874,0.239302683,0
122.3021008,2.586134454,0.709358464,0.363021003,0.602512243,0.958904821,0.22085933,0
180.3690476,3.316106443,0.632357954,0.270631998,0.520223027,0.963012065,0.300928582,0
219.0578431,3.57394958,0.664595426,0.311639921,0.558247186,0.949836483,0.275267107,0
244.8745098,2.978011204,0.748662671,0.447985096,0.669316888,0.955074964,0.236516721,0
259.7385154,3.329271709,0.709354683,0.375404887,0.612702936,0.951329675,0.2272743,0
166.1915966,2.677030812,0.737073997,0.430133553,0.655845678,0.96851246,0.257756537,0
294.2886555,3.830392157,0.637597023,0.276225412,0.52557151,0.951180935,0.292509662,0
223.855042,2.936134454,0.727548274,0.397343928,0.630352225,0.957815722,0.25216899,0
213.0334734,2.858403361,0.753657453,0.463280587,0.680647182,0.960925262,0.233457396,0
204.8616246,2.712184874,0.762708703,0.47904247,0.69212894,0.965511108,0.222046788,0
136.6887955,2.608543417,0.689543709,0.32656748,0.57146083,0.962258358,0.208093425,0
184.4981793,2.969887955,0.677449942,0.324342462,0.569510722,0.968448526,0.258632746,0
142.2743697,2.730112045,0.740453538,0.449364981,0.670346911,0.96656735,0.230296339,0
221.2211485,3.247338936,0.651000139,0.277399832,0.526687604,0.960687315,0.257655535,0
148.3173669,2.682072829,0.694866215,0.350087859,0.591682228,0.961804257,0.225943626,0
205.6631653,2.964705882,0.706541707,0.362738713,0.602277937,0.959008281,0.208033389,0
202.2154062,2.962044818,0.702020436,0.352919521,0.5940703,0.960853758,0.205941708,0
156.3505602,2.707422969,0.726057897,0.402135501,0.634141547,0.967219373,0.222658474,0
95.56330532,2.062184874,0.739875676,0.401409152,0.633568585,0.969327354,0.182523647,0
167.6303922,3.063865546,0.684938267,0.341424933,0.584315782,0.954789556,0.235663597,0
