name,contrast,dissimilarity,homogeneity,asm,energy,correlation,ent
rbc_00597.tif,3547.18861662312,27.79478850363675,0.676702338629063,0.4539665536186268,0.6737704012633879,0.3903591859101589,0.3745036099768049
rbc_07549.tif,4087.540992867735,31.46176117505826,0.6387170356063097,0.401619978297836,0.6337349432513849,0.3779023868231493,0.4079560641709388
rbc_05835.tif,4668.393757503,36.31946896405621,0.5817841458530956,0.3325634818659929,0.5766831728653029,0.3570299773388357,0.4527555830652117
rbc_04242.tif,4578.881576159876,36.07019278299555,0.579818513821501,0.3285853818217616,0.5732236752104379,0.3654862704299149,0.4557728631260531
rbc_03277.tif,3235.007414730598,25.280276816609,0.7077775590937672,0.4960020654061812,0.7042741408046878,0.3968319843840303,0.3482718762380395
rbc_01460.tif,3964.53781512605,31.31163053456677,0.632319417730349,0.3948469196889636,0.6283684585408179,0.3838223197826647,0.4120989493532811
rbc_00018.tif,4133.352023162206,32.30379210507732,0.6268642687927773,0.3876038558085141,0.6225783933036177,0.3550647556586276,0.416572852740941
rbc_03511.tif,3935.515147235365,30.55532801355836,0.6497546852985077,0.41725196706247,0.6459504370015319,0.3746009151613087,0.3979872002268411
rbc_11049.tif,3755.416284160723,29.06701504131064,0.6678595412324241,0.4412122026976174,0.6642380617652209,0.3735041651701105,0.3826069372215633
rbc_01528.tif,4278.187839841819,33.73179860179366,0.6086212939999889,0.3652529239679105,0.6043615837955871,0.3782146634797524,0.4313057450924548
rbc_09612.tif,4351.774874655744,34.16326530612245,0.6044771864495675,0.359726347743432,0.5997719130998317,0.3536076187770589,0.434858417732792
rbc_03698.tif,4908.16171174352,38.35025775015889,0.5575735708243023,0.3045161471709314,0.5518298172180726,0.3458436956617292,0.4721171316425949
rbc_01931.tif,3791.076053950992,29.13621919355977,0.6684785489663702,0.4418697672599737,0.6647328540549006,0.3652165760096671,0.3826779207640388
rbc_01716.tif,3588.457736035591,27.70609420238684,0.6866192314441903,0.4656499435823626,0.6823854801960272,0.3707298450826924,0.367794472288164
rbc_08243.tif,4479.164324553351,34.85431819786738,0.5964444266922581,0.3492176518106377,0.5909464035008909,0.3706061077138539,0.4422623029282374
rbc_00145.tif,4503.178306616765,35.15316714921263,0.5899352732946209,0.3427396156084732,0.5854396771730399,0.3628480775431085,0.4468690877281995
rbc_00192.tif,4877.29637737448,37.14370454063979,0.5830449179997319,0.3336227440543585,0.5776008518469814,0.330081032551599,0.4519548244274573
rbc_05798.tif,4183.292846550385,32.69147659063626,0.6203312949193871,0.3783411435913626,0.6150944184361964,0.3753558115777907,0.4232092268510322
rbc_07776.tif,4860.928041804958,37.96596285573052,0.5600252319676097,0.3081104517973294,0.5550769782627716,0.34208390954403,0.4689503570812517
rbc_03262.tif,3287.650589647623,25.33267424616906,0.7103222094044865,0.5008875730305994,0.7077341118178488,0.3806884332754209,0.3453546333265321
rbc_11666.tif,5081.788009321375,39.31389026198715,0.54695943560809,0.2923281044307708,0.5406737504547181,0.3267069540704134,0.4802260641764478
rbc_09559.tif,3908.146034884542,30.23303439022668,0.6531429867012151,0.4207250652621506,0.6486332286139452,0.3858064123827356,0.3954678528407825
rbc_01688.tif,3483.719087635054,27.00063554833698,0.6924089177569746,0.4751413851824098,0.6893050015649167,0.391522286461353,0.361701627209521
rbc_04928.tif,5177.348774804039,40.58074994703763,0.5291248307143265,0.2748096019126857,0.524222855198708,0.3329486021461286,0.4927313355408856
rbc_01675.tif,3609.886307464162,28.20422286561683,0.671671138167577,0.4451606120043898,0.6672035761327946,0.3952097798917806,0.3797673059733634
rbc_04282.tif,3591.947037638585,28.44121177882918,0.6658097480858127,0.4385895042664625,0.6622609034711792,0.3985458259854484,0.3841177761162342
rbc_05822.tif,5110.464373984888,40.05437469105289,0.5379754856747712,0.2837639872408417,0.5326950227295555,0.3410491742203032,0.4859242350912591
rbc_02817.tif,3709.475037073653,29.00713226467057,0.6652041185757716,0.4371880755276308,0.661201992985223,0.3762653563634381,0.3852877775990682
rbc_05611.tif,3870.683426311701,30.53343690417343,0.6476418037589362,0.4137018045939468,0.6431965520693864,0.3815779652874223,0.4001387682963205
rbc_08296.tif,3867.573758915331,30.31438457736036,0.6513937082806498,0.41843851943632,0.646868239625598,0.3751880109460738,0.3971955589166995
rbc_03314.tif,3343.198785396511,25.81399618670998,0.7028990258468389,0.4891634916967487,0.699402238841676,0.3938529847602985,0.3529139707676888
rbc_00350.tif,4428.395028599674,33.95042722971542,0.6124010320052601,0.3700480428944485,0.6083157427639437,0.3571667815600836,0.4281032806948658
rbc_00387.tif,4838.702633994774,37.79394110585411,0.5570897910344188,0.3044382950054617,0.5517592726954951,0.3441344775543504,0.4722434861976927
rbc_05610.tif,3584.478920980157,27.72600805027894,0.6804987655154514,0.4583541604415144,0.6770185820503855,0.3902215846110708,0.3718417404815073
rbc_02619.tif,4414.692888920274,34.91857919638444,0.5884846765621095,0.3407577563897528,0.5837445985957838,0.3707255291290216,0.4480042377781142
rbc_01304.tif,4269.213191158817,33.71470941317703,0.6091467651898039,0.3649965683361868,0.6041494586078736,0.3816430064963195,0.431135601090317
rbc_04240.tif,4281.583645222794,34.35039898312266,0.5895986931383266,0.3418296548442794,0.5846620005133559,0.3737632462514203,0.4468662205851332
rbc_09957.tif,3980.426382317633,30.84796271449756,0.642744892897387,0.4079994177144721,0.6387483211050125,0.3685790221320588,0.4038629615598789
rbc_05406.tif,3957.306122448979,31.02902337405551,0.6424099517147194,0.4070975254106758,0.638041946435088,0.3625186886695377,0.4042441457822264
rbc_02355.tif,4337.646211425747,33.93856366075842,0.6056277766709955,0.3613372672247303,0.6011133563852414,0.3685493846663978,0.4335019160373016
rbc_07588.tif,5126.343619800862,40.2028105359791,0.531576606833479,0.2766629143006681,0.5259875609752269,0.3331871064270398,0.4910071713293599
rbc_06862.tif,4089.576301108679,32.30901772473695,0.6226375624956004,0.3826090798872873,0.618554023418559,0.3689661737756246,0.4201822696517494
rbc_11488.tif,3674.065108396299,28.39884188969705,0.6769212501297138,0.4534912923784099,0.6734176210780424,0.3717610672228862,0.3751407678094524
rbc_07598.tif,4333.585198785397,34.29503566132335,0.596881800186728,0.350637361745896,0.5921464022907645,0.3689597138779988,0.4409817606674724
rbc_09562.tif,3224.766047595509,25.28126544735542,0.7013316037388433,0.4858108120271579,0.6970012998747979,0.4084659078186196,0.3548135044758934
